[ 68/216] {'a_ma': 0.0, 'a_dd': 0.5, 'a_mvrv': 2.0, 'a_flow': 0.15, 'bias': 0.2, 'm_max': 5.0} -> win 68.76 meanpct 46.12 sel 57.44 (471s)
[ 69/216] {'a_ma': 0.0, 'a_dd': 0.5, 'a_mvrv': 2.0, 'a_flow': 0.3, 'bias': 0.0, 'm_max': 3.0} -> win 70.65 meanpct 45.03 sel 57.84 (477s)
[ 70/216] {'a_ma': 0.0, 'a_dd': 0.5, 'a_mvrv': 2.0, 'a_flow': 0.3, 'bias': 0.0, 'm_max': 5.0} -> win 69.01 meanpct 46.47 sel 57.74 (484s)
[ 71/216] {'a_ma': 0.0, 'a_dd': 0.5, 'a_mvrv': 2.0, 'a_flow': 0.3, 'bias': 0.2, 'm_max': 3.0} -> win 70.30 meanpct 45.02 sel 57.66 (491s)
[ 72/216] {'a_ma': 0.0, 'a_dd': 0.5, 'a_mvrv': 2.0, 'a_flow': 0.3, 'bias': 0.2, 'm_max': 5.0} -> win 69.16 meanpct 46.60 sel 57.88 (498s)
[ 73/216] {'a_ma': 0.0, 'a_dd': 1.0, 'a_mvrv': 0.5, 'a_flow': 0.0, 'bias': 0.0, 'm_max': 3.0} -> win 72.30 meanpct 42.79 sel 57.55 (505s)
[ 74/216] {'a_ma': 0.0, 'a_dd': 1.0, 'a_mvrv': 0.5, 'a_flow': 0.0, 'bias': 0.0, 'm_max': 5.0} -> win 72.40 meanpct 43.01 sel 57.70 (512s)
[ 75/216] {'a_ma': 0.0, 'a_dd': 1.0, 'a_mvrv': 0.5, 'a_flow': 0.0, 'bias': 0.2, 'm_max': 3.0} -> win 70.15 meanpct 43.11 sel 56.63 (519s)
[ 76/216] {'a_ma': 0.0, 'a_dd': 1.0, 'a_mvrv': 0.5, 'a_flow': 0.0, 'bias': 0.2, 'm_max': 5.0} -> win 70.15 meanpct 43.76 sel 56.96 (526s)
[ 77/216] {'a_ma': 0.0, 'a_dd': 1.0, 'a_mvrv': 0.5, 'a_flow': 0.15, 'bias': 0.0, 'm_max': 3.0} -> win 73.74 meanpct 43.19 sel 58.46 (533s)
[ 78/216] {'a_ma': 0.0, 'a_dd': 1.0, 'a_mvrv': 0.5, 'a_flow': 0.15, 'bias': 0.0, 'm_max': 5.0} -> win 73.84 meanpct 43.77 sel 58.80 (540s)
[ 79/216] {'a_ma': 0.0, 'a_dd': 1.0, 'a_mvrv': 0.5, 'a_flow': 0.15, 'bias': 0.2, 'm_max': 3.0} -> win 70.75 meanpct 43.56 sel 57.15 (547s)
[ 80/216] {'a_ma': 0.0, 'a_dd': 1.0, 'a_mvrv': 0.5, 'a_flow': 0.15, 'bias': 0.2, 'm_max': 5.0} -> win 70.60 meanpct 44.44 sel 57.52 (554s)
[ 81/216] {'a_ma': 0.0, 'a_dd': 1.0, 'a_mvrv': 0.5, 'a_flow': 0.3, 'bias': 0.0, 'm_max': 3.0} -> win 73.04 meanpct 43.52 sel 58.28 (561s)
[ 82/216] {'a_ma': 0.0, 'a_dd': 1.0, 'a_mvrv': 0.5, 'a_flow': 0.3, 'bias': 0.0, 'm_max': 5.0} -> win 72.94 meanpct 44.40 sel 58.67 (569s)
[ 83/216] {'a_ma': 0.0, 'a_dd': 1.0, 'a_mvrv': 0.5, 'a_flow': 0.3, 'bias': 0.2, 'm_max': 3.0} -> win 70.90 meanpct 43.90 sel 57.40 (576s)
[ 84/216] {'a_ma': 0.0, 'a_dd': 1.0, 'a_mvrv': 0.5, 'a_flow': 0.3, 'bias': 0.2, 'm_max': 5.0} -> win 70.55 meanpct 44.97 sel 57.76 (583s)
[ 85/216] {'a_ma': 0.0, 'a_dd': 1.0, 'a_mvrv': 1.0, 'a_flow': 0.0, 'bias': 0.0, 'm_max': 3.0} -> win 70.30 meanpct 43.41 sel 56.86 (590s)
[ 86/216] {'a_ma': 0.0, 'a_dd': 1.0, 'a_mvrv': 1.0, 'a_flow': 0.0, 'bias': 0.0, 'm_max': 5.0} -> win 70.00 meanpct 44.57 sel 57.29 (597s)
[ 87/216] {'a_ma': 0.0, 'a_dd': 1.0, 'a_mvrv': 1.0, 'a_flow': 0.0, 'bias': 0.2, 'm_max': 3.0} -> win 70.95 meanpct 43.80 sel 57.37 (603s)
[ 88/216] {'a_ma': 0.0, 'a_dd': 1.0, 'a_mvrv': 1.0, 'a_flow': 0.0, 'bias': 0.2, 'm_max': 5.0} -> win 70.10 meanpct 44.82 sel 57.46 (610s)
[ 89/216] {'a_ma': 0.0, 'a_dd': 1.0, 'a_mvrv': 1.0, 'a_flow': 0.15, 'bias': 0.0, 'm_max': 3.0} -> win 71.10 meanpct 43.83 sel 57.46 (617s)
[ 90/216] {'a_ma': 0.0, 'a_dd': 1.0, 'a_mvrv': 1.0, 'a_flow': 0.15, 'bias': 0.0, 'm_max': 5.0} -> win 70.55 meanpct 45.05 sel 57.80 (624s)
[ 91/216] {'a_ma': 0.0, 'a_dd': 1.0, 'a_mvrv': 1.0, 'a_flow': 0.15, 'bias': 0.2, 'm_max': 3.0} -> win 71.05 meanpct 44.08 sel 57.57 (631s)
[ 92/216] {'a_ma': 0.0, 'a_dd': 1.0, 'a_mvrv': 1.0, 'a_flow': 0.15, 'bias': 0.2, 'm_max': 5.0} -> win 70.15 meanpct 45.25 sel 57.70 (637s)
[ 93/216] {'a_ma': 0.0, 'a_dd': 1.0, 'a_mvrv': 1.0, 'a_flow': 0.3, 'bias': 0.0, 'm_max': 3.0} -> win 71.70 meanpct 44.21 sel 57.96 (644s)
[ 94/216] {'a_ma': 0.0, 'a_dd': 1.0, 'a_mvrv': 1.0, 'a_flow': 0.3, 'bias': 0.0, 'm_max': 5.0} -> win 70.85 meanpct 45.43 sel 58.14 (652s)
[ 95/216] {'a_ma': 0.0, 'a_dd': 1.0, 'a_mvrv': 1.0, 'a_flow': 0.3, 'bias': 0.2, 'm_max': 3.0} -> win 71.25 meanpct 44.44 sel 57.85 (658s)
[ 96/216] {'a_ma': 0.0, 'a_dd': 1.0, 'a_mvrv': 1.0, 'a_flow': 0.3, 'bias': 0.2, 'm_max': 5.0} -> win 70.20 meanpct 45.69 sel 57.95 (665s)
[ 97/216] {'a_ma': 0.0, 'a_dd': 1.0, 'a_mvrv': 2.0, 'a_flow': 0.0, 'bias': 0.0, 'm_max': 3.0} -> win 69.61 meanpct 44.16 sel 56.89 (672s)
[ 98/216] {'a_ma': 0.0, 'a_dd': 1.0, 'a_mvrv': 2.0, 'a_flow': 0.0, 'bias': 0.0, 'm_max': 5.0} -> win 67.51 meanpct 45.21 sel 56.36 (679s)
[ 99/216] {'a_ma': 0.0, 'a_dd': 1.0, 'a_mvrv': 2.0, 'a_flow': 0.0, 'bias': 0.2, 'm_max': 3.0} -> win 69.41 meanpct 44.34 sel 56.87 (685s)
[100/216] {'a_ma': 0.0, 'a_dd': 1.0, 'a_mvrv': 2.0, 'a_flow': 0.0, 'bias': 0.2, 'm_max': 5.0} -> win 68.11 meanpct 45.52 sel 56.81 (692s)
[101/216] {'a_ma': 0.0, 'a_dd': 1.0, 'a_mvrv': 2.0, 'a_flow': 0.15, 'bias': 0.0, 'm_max': 3.0} -> win 70.40 meanpct 44.43 sel 57.42 (699s)
[102/216] {'a_ma': 0.0, 'a_dd': 1.0, 'a_mvrv': 2.0, 'a_flow': 0.15, 'bias': 0.0, 'm_max': 5.0} -> win 68.46 meanpct 45.69 sel 57.08 (705s)
[103/216] {'a_ma': 0.0, 'a_dd': 1.0, 'a_mvrv': 2.0, 'a_flow': 0.15, 'bias': 0.2, 'm_max': 3.0} -> win 69.86 meanpct 44.65 sel 57.25 (712s)
[104/216] {'a_ma': 0.0, 'a_dd': 1.0, 'a_mvrv': 2.0, 'a_flow': 0.15, 'bias': 0.2, 'm_max': 5.0} -> win 68.46 meanpct 45.86 sel 57.16 (719s)
[105/216] {'a_ma': 0.0, 'a_dd': 1.0, 'a_mvrv': 2.0, 'a_flow': 0.3, 'bias': 0.0, 'm_max': 3.0} -> win 70.70 meanpct 44.75 sel 57.73 (726s)
[106/216] {'a_ma': 0.0, 'a_dd': 1.0, 'a_mvrv': 2.0, 'a_flow': 0.3, 'bias': 0.0, 'm_max': 5.0} -> win 68.86 meanpct 46.18 sel 57.52 (733s)
[107/216] {'a_ma': 0.0, 'a_dd': 1.0, 'a_mvrv': 2.0, 'a_flow': 0.3, 'bias': 0.2, 'm_max': 3.0} -> win 69.86 meanpct 44.88 sel 57.37 (739s)
[108/216] {'a_ma': 0.0, 'a_dd': 1.0, 'a_mvrv': 2.0, 'a_flow': 0.3, 'bias': 0.2, 'm_max': 5.0} -> win 68.71 meanpct 46.35 sel 57.53 (746s)
[109/216] {'a_ma': 1.0, 'a_dd': 0.0, 'a_mvrv': 0.5, 'a_flow': 0.0, 'bias': 0.0, 'm_max': 3.0} -> win 65.42 meanpct 42.17 sel 53.79 (752s)
[110/216] {'a_ma': 1.0, 'a_dd': 0.0, 'a_mvrv': 0.5, 'a_flow': 0.0, 'bias': 0.0, 'm_max': 5.0} -> win 65.42 meanpct 42.17 sel 53.79 (759s)
[111/216] {'a_ma': 1.0, 'a_dd': 0.0, 'a_mvrv': 0.5, 'a_flow': 0.0, 'bias': 0.2, 'm_max': 3.0} -> win 74.99 meanpct 43.01 sel 59.00 (766s)
[112/216] {'a_ma': 1.0, 'a_dd': 0.0, 'a_mvrv': 0.5, 'a_flow': 0.0, 'bias': 0.2, 'm_max': 5.0} -> win 75.04 meanpct 43.04 sel 59.04 (773s)
[113/216] {'a_ma': 1.0, 'a_dd': 0.0, 'a_mvrv': 0.5, 'a_flow': 0.15, 'bias': 0.0, 'm_max': 3.0} -> win 73.99 meanpct 42.94 sel 58.47 (779s)
[114/216] {'a_ma': 1.0, 'a_dd': 0.0, 'a_mvrv': 0.5, 'a_flow': 0.15, 'bias': 0.0, 'm_max': 5.0} -> win 73.99 meanpct 42.97 sel 58.48 (786s)
[115/216] {'a_ma': 1.0, 'a_dd': 0.0, 'a_mvrv': 0.5, 'a_flow': 0.15, 'bias': 0.2, 'm_max': 3.0} -> win 74.94 meanpct 43.62 sel 59.28 (793s)
[116/216] {'a_ma': 1.0, 'a_dd': 0.0, 'a_mvrv': 0.5, 'a_flow': 0.15, 'bias': 0.2, 'm_max': 5.0} -> win 75.04 meanpct 43.84 sel 59.44 (799s)
[117/216] {'a_ma': 1.0, 'a_dd': 0.0, 'a_mvrv': 0.5, 'a_flow': 0.3, 'bias': 0.0, 'm_max': 3.0} -> win 73.89 meanpct 43.50 sel 58.69 (806s)
[118/216] {'a_ma': 1.0, 'a_dd': 0.0, 'a_mvrv': 0.5, 'a_flow': 0.3, 'bias': 0.0, 'm_max': 5.0} -> win 74.04 meanpct 43.88 sel 58.96 (813s)
[119/216] {'a_ma': 1.0, 'a_dd': 0.0, 'a_mvrv': 0.5, 'a_flow': 0.3, 'bias': 0.2, 'm_max': 3.0} -> win 74.19 meanpct 44.02 sel 59.11 (819s)
[120/216] {'a_ma': 1.0, 'a_dd': 0.0, 'a_mvrv': 0.5, 'a_flow': 0.3, 'bias': 0.2, 'm_max': 5.0} -> win 74.34 meanpct 44.66 sel 59.50 (826s)
[121/216] {'a_ma': 1.0, 'a_dd': 0.0, 'a_mvrv': 1.0, 'a_flow': 0.0, 'bias': 0.0, 'm_max': 3.0} -> win 66.17 meanpct 43.74 sel 54.96 (833s)
[122/216] {'a_ma': 1.0, 'a_dd': 0.0, 'a_mvrv': 1.0, 'a_flow': 0.0, 'bias': 0.0, 'm_max': 5.0} -> win 66.27 meanpct 44.21 sel 55.24 (839s)
[123/216] {'a_ma': 1.0, 'a_dd': 0.0, 'a_mvrv': 1.0, 'a_flow': 0.0, 'bias': 0.2, 'm_max': 3.0} -> win 72.45 meanpct 43.93 sel 58.19 (846s)
[124/216] {'a_ma': 1.0, 'a_dd': 0.0, 'a_mvrv': 1.0, 'a_flow': 0.0, 'bias': 0.2, 'm_max': 5.0} -> win 72.50 meanpct 44.88 sel 58.69 (853s)
